4811.9829	4811.6900	4812.1300
4814.5910	4814.4800	4814.7800
4829.0231	4828.8300	4829.2000
4873.4380	4873.3300	4873.6200
4904.4118	4904.1200	4904.6800
4912.0180	4911.9000	4912.2639
4913.9730	4913.8100	4914.2000
4918.3640	4918.1700	4918.5300
4935.8305	4935.5600	4936.0397
4946.0317	4945.8400	4946.1800
4953.2000	4952.9917	4953.4364
4976.1300	4975.9600	4976.2300
4976.3255	4976.2300	4976.4989
4976.6968	4976.5490	4976.8100
4995.6503	4995.5300	4995.7900
5003.7407	5003.5700	5003.9000
5010.9381	5010.6900	5011.1300
5032.7271	5032.5200	5032.9100
5035.3570	5035.0600	5035.5900
5081.1103	5080.8400	5081.4100
5084.0957	5083.9200	5084.3149
5094.4107	5094.2300	5094.6571
5137.0738	5136.9000	5137.2300
5155.1259	5154.9400	5155.3222
5155.7639	5155.5900	5155.9400
5157.9760	5157.8600	5158.1427
5176.5603	5176.3400	5176.7200
5347.7080	5347.6000	5347.8700
5392.3309	5392.1600	5392.5300
5424.5361	5424.4200	5424.6250
5424.6450	5424.6250	5424.9400
5435.8576	5435.5600	5436.0600
5462.4931	5462.2000	5462.7100
5468.1039	5467.9400	5468.2600
5475.4294	5475.2146	5475.5800
5476.9035	5476.7200	5477.2000
5578.7183	5578.5000	5578.9400
5587.8578	5587.7200	5588.0500
5589.3580	5589.1700	5589.6100
5593.7355	5593.5100	5593.9400
5625.3168	5625.1000	5625.4800
5628.3417	5628.1300	5628.4900
5638.7467	5638.5600	5638.9300
5641.8809	5641.6600	5642.0800
5643.0780	5642.9200	5643.2800
5682.1987	5681.9000	5682.3700
5694.9833	5694.8500	5695.2000
5709.5448	5709.4700	5709.7900
5748.3507	5748.1600	5748.5800
5760.8298	5760.5957	5761.0583
5805.2166	5804.9543	5805.4463
5846.9935	5846.7700	5847.2200
5996.7301	5996.4400	5997.0300
6007.3098	6007.0100	6007.5100
6025.7539	6025.5587	6025.9464
6086.2815	6085.9900	6086.5400
6108.1158	6107.8200	6108.3900
6111.0703	6110.8600	6111.3700
6128.9731	6128.7100	6129.1500
6130.1348	6129.9100	6130.4300
6133.9626	6133.7000	6134.2600
6175.3665	6175.1700	6175.6400
6176.8070	6176.5100	6177.0700
6177.2415	6177.0700	6177.4400
6186.7109	6186.4900	6187.0000
6191.1783	6190.8800	6191.3500
6204.6000	6204.3303	6204.9000
6223.9810	6223.6900	6224.2500
6230.0889	6229.7900	6230.2900
6322.1656	6321.8700	6322.3800
6327.5985	6327.3400	6327.8800
6370.3458	6370.1200	6370.6400
6378.2470	6378.0300	6378.4800
6384.6617	6384.3700	6384.9600
6414.5810	6414.4100	6414.7500
6424.8515	6424.5800	6425.1400
6482.7983	6482.5000	6483.0400
6532.8730	6532.6100	6533.0800
6586.3098	6586.0600	6586.5400
6598.5978	6598.3800	6598.8900
6635.1224	6634.8300	6635.3900
6643.6303	6643.3400	6643.9300
6767.7720	6766.7720	6768.7720
6772.3149	6771.3149	6773.3149
6842.0367	6841.0367	6843.0367
8770.6777	8769.6777	8771.6777
